wkt_geom,MARKID,MARKTYPE1,MARKTYPE2,MARKNAME1,MARKNAME2,異動日期_西元年月,ADDRESS,TEL,坐標系統
Point (336229.81199999991804361 2721201.27400000020861626),G0000000150,9960101,,臺鐵蘇澳車站,臺鐵蘇澳站,201810,宜蘭縣蘇澳鎮蘇南里太平路1號,03-9962028,TM2
Point (333768.17399999964982271 2722688.4140000008046627),G0000000219,9960101,,臺鐵蘇澳新車站,臺鐵蘇澳新站,201810,宜蘭縣蘇澳鎮聖愛里中山路二段238號,03-9961004,TM2
Point (333322.63300000037997961 2723428.15200000070035458),G0000000241,9960101,,臺鐵新馬車站,臺鐵新馬站,201806,宜蘭縣蘇澳鎮中山路二段322號,03-9961004,TM2
Point (330208.1380000002682209 2725746.61299999989569187),G0000000319,9960101,,臺鐵冬山車站,臺鐵冬山站,201810,宜蘭縣冬山鄉冬山村中正路1之2號,03-9594221,TM2
Point (328367.67100000008940697 2730321.91499999910593033),G0000000586,9960101,,臺鐵羅東車站,臺鐵羅東站,201810,宜蘭縣羅東鎮大新里公正路2號,03-9542117,TM2
Point (328449.64199999999254942 2732176.70099999941885471),G0000000735,9960101,,臺鐵中里車站,臺鐵中里站,202208,宜蘭縣五結鄉台興路10號,03-9542117,TM2
Point (328332.80099999997764826 2733356.96000000089406967),G0000000759,9960101,,臺鐵二結車站,臺鐵二結站,201810,宜蘭縣五結鄉五結中路三段658巷8號,03-9650304,TM2
Point (326666.8619999997317791 2738812.06599999964237213),G0000001043,9960101,,臺鐵宜蘭車站,臺鐵宜蘭站,201810,宜蘭縣宜蘭市和睦里光復路1號,03-9323801,TM2
Point (327121.20000000018626451 2742381.15699999965727329),G0000001245,9960101,,臺鐵四城車站,臺鐵四城站,201806,宜蘭縣礁溪鄉吳沙村站前路24號,03-9282449,TM2
Point (328368.92999999970197678 2746839.99699999950826168),G0000001335,9960101,,臺鐵礁溪車站,臺鐵礁溪站,201810,宜蘭縣礁溪鄉德陽村溫泉路1號,03-9886940,TM2
Point (331775.53799999970942736 2748731.19700000062584877),G0000001464,9960101,,臺鐵頂埔車站,臺鐵頂埔站,201810,宜蘭縣頭城鎮下埔里下埔路4之8號,03-9886940,TM2
Point (333116.071000000461936 2750398.34100000001490116),G0000001505,9960101,,臺鐵頭城車站,臺鐵頭城站,201806,宜蘭縣頭城鎮城北里纘祥路59號,03-9771429,TM2
Point (335467.26499999966472387 2753181.62900000065565109),G0000001555,9960101,,臺鐵外澳車站,臺鐵外澳站,201810,宜蘭縣頭城鎮外澳里濱海路二段217號,03-9771429,TM2
Point (337774.15099999960511923 2755521.00799999944865704),G0000001564,9960101,,臺鐵龜山車站,臺鐵龜山站,201810,宜蘭縣頭城鎮更新里濱海路三段261號,03-9770351,TM2
Point (339865.51499999966472387 2759246.1830000001937151),G0000001579,9960101,,臺鐵大溪車站,臺鐵大溪站,201810,宜蘭縣頭城鎮大溪里濱海路五段63號,03-9771429,TM2
Point (343146.79999999981373549 2762409.59100000001490116),G0000001597,9960101,,臺鐵大里車站,臺鐵大里站,201409,宜蘭縣頭城鎮大里里濱海路六段326號,03-9781171,TM2
Point (345414.17499999981373549 2763708.02400000020861626),G0000003890,9960101,,臺鐵石城車站,臺鐵石城站,202402,宜蘭縣頭城鎮濱海路七段230號,03-9771429,TM2
Point (213523.66009999997913837 2632747.45509999990463257),N0000001514,9960101,,臺鐵源泉車站(集集線),臺鐵源泉站(集集線),201810,彰化縣二水鄉合興村英義路(無站房),04-8792027,TM2
Point (211087.26040000002831221 2634389.57650000043213367),N0000001515,9960101,,臺鐵二水車站,臺鐵二水站,202003,彰化縣二水鄉光文路1號,04-8792027,TM2
Point (208372.27560000028461218 2639388.24719999916851521),N0000001954,9960101,,臺鐵田中車站,臺鐵田中站,201811,彰化縣田中鎮中州路一段1號,04-8742142,TM2
Point (207310.89169999957084656 2643537.36989999935030937),N0000000986,9960101,,臺鐵社頭車站,臺鐵社頭站,202210,彰化縣社頭鄉廣興村社站路10號,04-8711646,TM2
Point (206400.87770000007003546 2647115.32349999994039536),N0000001065,9960101,,臺鐵永靖車站,臺鐵永靖站,201811,彰化縣永靖鄉崙子村永崙路25號,04-8320544,TM2
Point (206211.39030000008642673 2650589.53500000014901161),N0000004199,9960101,,臺鐵員林車站,臺鐵員林站,201811,彰化縣員林市民權街55號,04-8320544,TM2
Point (205296.42709999997168779 2653991.60610000044107437),N0000002675,9960101,,臺鐵大村車站,臺鐵大村站,201811,彰化縣大村鄉過溝村福進路100號,04-8525148,TM2
Point (202942.43439999967813492 2657870.49129999987781048),N0000001724,9960101,,臺鐵花壇車站,臺鐵花壇站,201810,彰化縣花壇鄉中正路370號,04-7881418,TM2
Point (203072.06639999989420176 2664138.00980000011622906),N0000006564,9960101,,臺鐵彰化車站,臺鐵彰化站,202101,彰化縣彰化市三民路1號,04-7274218,TM2
Point (285866.17499999981373549 2760788.20500000007450581),F0000015375,9960101,,臺鐵鶯歌車站,臺鐵鶯歌站,202201,新北市鶯歌區東鶯里文化路68之1號,02-26792004,TM2
Point (283983.71750000026077032 2762789.15029999986290932),F0000019357,9960101,,臺鐵鳳鳴臨時車站,臺鐵鳳鳴臨時站,202408,,,TM2
Point (289636.25999999977648258 2762808.98000000044703484),F0000013874,9960101,9940301,臺鐵山佳車站,臺鐵山佳站,202401,新北市樹林區中山里中山路三段108號,02-26808874,TM2
Point (291274.99199999962002039 2763681.38399999961256981),F0000008689,9960101,,臺鐵南樹林車站,臺鐵南樹林站,202201,新北市樹林區中山里中山路二段230號,02-23815226分機4403、02-26812052,TM2
Point (292880.72499999962747097 2764879.36999999918043613),F0000015681,9960101,,臺鐵樹林車站,臺鐵樹林站,202201,新北市樹林區樹北里鎮前街112號,02-26812052,TM2
Point (294882.67599999997764826 2766317.66999999992549419),F0000007486,9960101,,臺鐵浮洲車站,臺鐵浮洲站,201904,新北市板橋區僑中二街156號,02-23815226#4665,TM2
Point (296853.96300000045448542 2767433.76700000092387199),F0000013910,9960101,,臺鐵板橋車站,臺鐵板橋站,201911,新北市板橋區縣民大道二段7號,02-89691036,TM2
Point (345347.83999999985098839 2767872.35199999995529652),F0000004536,9960101,,臺鐵福隆車站,臺鐵福隆站,202201,新北市貢寮區福隆里福隆街2號,02-24991800,TM2
Point (341712.15699999965727329 2768522.82499999925494194),F0000004551,9960101,,臺鐵貢寮車站,臺鐵貢寮站,202201,新北市貢寮區貢寮里朝陽街33號,02-24941500,TM2
Point (323050.88300000037997961 2768640.14599999971687794),F0000015187,9960101,,臺鐵菁桐車站,臺鐵菁桐站,202001,新北市平溪區菁桐街52號,02-24972033,TM2
Point (324683.12999999988824129 2768813.48100000061094761),F0000007321,9960101,,臺鐵平溪車站,臺鐵平溪站,201904,新北市平溪區中華街12號,02-24972033,TM2
Point (325485.58899999968707561 2769325.69500000029802322),F0000015162,9960101,,臺鐵嶺腳車站,臺鐵嶺腳站,202001,新北市平溪區嶺腳街22號,02-24972033,TM2
Point (327078.54999999981373549 2769824.83999999985098839),F0000015132,9960101,,臺鐵望古車站,臺鐵望古站,202001,新北市平溪區(無站房),02-24972033,TM2
Point (337442.20199999958276749 2770331.52099999971687794),F0000004573,9960101,,臺鐵雙溪車站,臺鐵雙溪站,202201,新北市雙溪區新基里朝陽街1號,02-24932980,TM2
Point (328207.39300000015646219 2770543.35199999995529652),F0000007326,9960101,,臺鐵十分車站,臺鐵十分站,202201,新北市平溪區十分街51號,02-24958307,TM2
Point (330478.13700000010430813 2771532.79700000025331974),F0000009196,9960101,,臺鐵大華車站,臺鐵大華站,202001,新北市平溪區六分路12之1號,02-24972033,TM2
Point (335962.46300000045448542 2772550.09300000034272671),F0000009199,9960101,,臺鐵牡丹車站,臺鐵牡丹站,202201,新北市雙溪區牡丹里16鄰牡丹路159號,02-24932980,TM2
Point (315244.43699999991804361 2772864.25599999912083149),F0000008937,9960101,,臺鐵汐科車站,臺鐵汐科站,202201,新北市汐止區大同路二段182號,02-23815226#8730,TM2
Point (332984.60900000017136335 2773287.80700000002980232),F0000015142,9960101,,臺鐵三貂嶺車站,臺鐵三貂嶺站,202001,新北市瑞芳區碩仁里魚寮路1號,02-24977896,TM2
Point (316789.11000000033527613 2773532.7109999991953373),F0000003616,9960101,,臺鐵汐止車站,臺鐵汐止站,201904,新北市汐止區信望里信義路1號,02-26415096,TM2
Point (317349.01200000010430813 2774570.83799999952316284),F0000003644,9960101,,臺鐵五堵車站,臺鐵五堵站,201904,新北市汐止區長安里長安路17號,02-86476200,TM2
Point (333470.59499999973922968 2775651.16799999959766865),F0000015149,9960101,,臺鐵猴硐車站,臺鐵猴硐站,202201,新北市瑞芳區光復里柴寮路70號,02-24977747,TM2
Point (326845.54899999964982271 2777379.04499999992549419),F0000007338,9960101,,臺鐵四腳亭車站,臺鐵四腳亭站,202201,新北市瑞芳區吉慶里中央路65號,02-24579346,TM2
Point (331296.95799999963492155 2778059.34799999929964542),F0000015154,9960101,,臺鐵瑞芳車站,臺鐵瑞芳站,202001,新北市瑞芳區龍潭里明燈路三段82號,02-24972033,TM2
Point (241293.90600000042468309 2739543.45299999974668026),O0000000052,9960101,9940301,臺鐵香山車站,臺鐵香山站,202201,新竹市香山區朝山里中華路五段347巷2弄27號,03-5237441,TM2
Point (242769.42999999970197678 2742218.89599999971687794),O0000001271,9960101,,臺鐵三姓橋車站,臺鐵三姓橋站,202201,新竹市香山區元培街32巷30號,03-5237441,TM2
Point (252225.36699999962002039 2742312.75999999977648258),O0000000286,9960101,,臺鐵新莊車站,臺鐵新莊站,202201,新竹市東區新莊里關東路310號,03-5237441,TM2
Point (247131.80900000035762787 2743794.321000000461936),O0000000601,9960101,9940301,臺鐵新竹車站,臺鐵新竹站,202201,新竹市東區榮光里中華路二段445號,03-5237441,TM2
Point (250351.16700000036507845 2744362.85600000061094761),O0000000805,9960101,,臺鐵千甲車站,臺鐵千甲站,201311,新竹市東區水源里千甲路142號,03-5237441,TM2
Point (248363.02400000020861626 2744579.94500000029802322),O0000000872,9960101,,臺鐵北新竹車站,臺鐵北新竹站,201311,新竹市東區中華路一段291之2號,03-5237441,TM2
Point (268467.99100000038743019 2733155.68500000052154064),J0000001195,9960101,,臺鐵內灣車站,臺鐵內灣站,202001,新竹縣橫山鄉中正路6號,03-5962042,TM2
Point (266937.7630000002682209 2734277.63900000043213367),J0000001200,9960101,,臺鐵富貴車站,臺鐵富貴站,202001,新竹縣橫山鄉(無站房),03-5962042,TM2
Point (265628.46499999985098839 2734402.2369999997317791),J0000001202,9960101,,臺鐵合興車站,臺鐵合興站,202112,新竹縣橫山鄉中山街一段17號,03-5962042,TM2
Point (261904.928999999538064 2734815.62099999934434891),J0000001210,9960101,,臺鐵橫山車站,臺鐵橫山站,202001,新竹縣橫山鄉橫山村橫山路97號(無站房),03-5962042,TM2
Point (263782.74799999967217445 2734841.3619999997317791),J0000001211,9960101,,臺鐵九讚頭車站,臺鐵九讚頭站,202001,新竹縣橫山鄉中豐路二段286巷29號,03-5962042,TM2
Point (259578.76400000043213367 2736785.48200000077486038),J0000016078,9960101,,臺鐵竹東車站,臺鐵竹東站,202112,新竹縣竹東鎮雞林里東林路196號,03-5962042,TM2
Point (258420.7369999997317791 2737907.17799999937415123),J0000016092,9960101,,臺鐵榮華車站,臺鐵榮華站,202112,新竹縣竹東鎮仁愛里北興路(無站房),03-5962042,TM2
Point (255641.45100000035017729 2741164.01899999938905239),J0000016118,9960101,,臺鐵上員車站,臺鐵上員站,202112,新竹縣竹東鎮上員里光明路(無站房),03-5962042,TM2
Point (253173.05599999986588955 2741596.76899999938905239),J0000016129,9960101,,臺鐵竹中車站,臺鐵竹中站,202112,新竹縣竹東鎮頭重里竹中路145號,03-5962042,TM2
Point (253976.13599999994039536 2744464.30499999970197678),J0000002080,9960101,,臺鐵六家車站,臺鐵六家站,202112,新竹縣竹北市復興三路二段229號,03-5962042,TM2
Point (250956.39099999982863665 2747958.03399999998509884),J0000000591,9960101,,臺鐵竹北車站,臺鐵竹北站,202112,新竹縣竹北市福德里和平街59號,03-5552024,TM2
Point (249685.23900000005960464 2751356.51799999922513962),J0000015789,9960101,,臺鐵新豐車站,臺鐵新豐站,202112,新竹縣新豐鄉員山村新興路202號,03-5596314,TM2
Point (254448.34999999962747097 2755022.89800000004470348),J0000000993,9960101,,臺鐵湖口車站,臺鐵湖口站,202112,新竹縣湖口鄉仁勢村中山路二段121號,03-5992192,TM2
Point (255648.87700000032782555 2757155.26700000092387199),J0000004481,9960101,,臺鐵北湖車站,臺鐵北湖站,201907,新竹縣湖口鄉東興村北湖路1號,03-5993850,TM2
Point (264767.62000000011175871 2756261.98299999907612801),H0000000903,9960101,,臺鐵楊梅車站,臺鐵楊梅站,201311,桃園市楊梅區楊梅里大成路256號,03-4782893,TM2
Point (268554.86500000022351742 2756871.78600000031292439),H0000000970,9960101,,臺鐵埔心車站,臺鐵埔心站,201311,桃園市楊梅區埔心里永美路208號,03-4827100,TM2
Point (256847.63900000043213367 2758158.20700000040233135),H0000009094,9960101,,臺鐵新富車站,臺鐵新富站,202112,桃園市楊梅區富豐里富全街1號,03-4723754,TM2
Point (258391.27599999960511923 2758512.31000000052154064),H0000001189,9960101,,臺鐵富岡車站,臺鐵富岡站,202112,桃園市楊梅區富岡里成功路37號,03-4723754,TM2
Point (272737.21800000034272671 2760569.00100000016391277),H0000008975,9960101,,臺鐵中壢車站(後站),臺鐵中壢站(後站),202112,桃園市中壢區東興里新興路99號,03-4223235,TM2
Point (272715.63850000035017729 2760628.83999999985098839),H0000011889,9960101,,臺鐵中壢臨時車站(前站),臺鐵中壢臨時站(前站),202401,,,TM2
Point (272793.37000000011175871 2760672.36999999918043613),H0000009442,9960101,,臺鐵中壢車站(前站)(興建中),臺鐵中壢站(前站)(興建中),202401,桃園市中壢區石頭里中和路139號,03-4223235,TM2
Point (276076.99700000043958426 2762786.82699999958276749),H0000002406,9960101,,臺鐵內壢車站,臺鐵內壢站,201311,桃園市中壢區中原里中華路一段267號,03-4559725,TM2
Point (281744.14099999982863665 2764572.8880000002682209),H0000008957,9960101,,臺鐵桃園車站,臺鐵桃園站,202008,桃園市桃園區武陵里中正路1號,03-3767050,TM2
Point (300474.47099999990314245 2769563.125),A0000013083,9960101,,臺鐵萬華車站,臺鐵萬華站,202202,臺北市萬華區富福里康定路382號,02-23020481,TM2
Point (302143.80900000035762787 2771129.07200000062584877),A0000002544,9960101,,臺鐵臺北車站,臺鐵臺北站,202001,臺北市中正區黎明里北平西路3號,02-23713558,TM2
Point (308357.90699999965727329 2771347.88199999928474426),A0000012887,9960101,,臺鐵松山車站,臺鐵松山站,202001,臺北市信義區永吉里松山路11號B1,02-27673819,TM2
Point (311252.07299999985843897 2771829.85300000011920929),A0000003480,9960101,,臺鐵南港車站,臺鐵南港站,201311,臺北市南港區南港里南港路一段313號,02-27838645,TM2
Point (227080.32799999974668026 2701626.73100000061094761),K0000000167,9960101,,臺鐵三義車站,臺鐵三義站,202109,苗栗縣三義鄉雙湖村雙湖90號,037-874763,TM2
Point (214656.79700000025331974 2704171.03600000031292439),K0000003046,9960101,,臺鐵苑裡車站,臺鐵苑裡站,201908,苗栗縣苑裡鎮苑北里中山路165號,037-851013,TM2
Point (228328.5400000000372529 2708909.06000000052154064),K0000000385,9960101,,臺鐵銅鑼車站,臺鐵銅鑼站,201905,苗栗縣銅鑼鄉銅鑼村大同路13號,037-983838,TM2
Point (217407.04700000025331974 2709485.17100000008940697),K0000000445,9960101,,臺鐵通霄車站,臺鐵通霄站,201908,苗栗縣通霄鎮通西里中正路109號,037-758300,TM2
Point (228874.54499999992549419 2712907.17200000025331974),K0000000560,9960101,,臺鐵南勢車站,臺鐵南勢站,201908,苗栗縣苗栗市新英里南勢39號,037-260031,TM2
Point (219120.71899999957531691 2714881.34400000050663948),K0000000653,9960101,,臺鐵新埔車站,臺鐵新埔站,201908,苗栗縣通霄鎮新埔里新埔57號,037-793066,TM2
Point (220441.77799999993294477 2717609.65499999932944775),K0000000928,9960101,,臺鐵白沙屯車站,臺鐵白沙屯站,201908,苗栗縣通霄鎮白西里白西131號,037-793066,TM2
Point (232013.70600000023841858 2718161.14200000092387199),K0000000990,9960101,,臺鐵苗栗車站,臺鐵苗栗站,201908,苗栗縣苗栗市上苗里為公路1號,037-260031,TM2
Point (232416.35699999984353781 2721957.79499999992549419),K0000003407,9960101,,臺鐵豐富車站,臺鐵豐富站,202109,苗栗縣後龍鎮校椅里高鐵一路66號,037-726700,TM2
Point (225514.64499999955296516 2722788.20700000040233135),K0000001269,9960101,,臺鐵龍港車站,臺鐵龍港站,201905,苗栗縣後龍鎮龍京里公司寮85號,037-728616,TM2
Point (228442.74199999962002039 2723267.43099999986588955),K0000001323,9960101,,臺鐵後龍車站,臺鐵後龍站,201905,苗栗縣後龍鎮北龍里車站街127之2號,037-728616,TM2
Point (236561.22800000011920929 2726119.90300000086426735),K0000001422,9960101,,臺鐵造橋車站,臺鐵造橋站,202109,苗栗縣造橋鄉造橋村平仁路54號,037-472030,TM2
Point (230136.91000000014901161 2726546.93999999947845936),K0000001437,9960101,,臺鐵大山車站,臺鐵大山站,202001,苗栗縣後龍鎮大山里明山路180號,037-728616,TM2
Point (235677.21999999973922968 2727744.33999999985098839),K0000003491,9960101,,臺鐵談文車站,臺鐵談文站,202109,苗栗縣造橋鄉談文村仁愛路29號,037-472030,TM2
Point (237899.05700000002980232 2731062.72100000083446503),K0000001703,9960101,,臺鐵竹南車站,臺鐵竹南站,201905,苗栗縣竹南鎮竹南里中山路166號,037-472030,TM2
Point (237026.83700000029057264 2735101.78999999910593033),K0000003651,9960101,,臺鐵崎頂車站,臺鐵崎頂站,202001,苗栗縣竹南鎮崎頂里北戶55號,037-472030,TM2
Point (196032.86000000033527613 2615202.40799999982118607),P0000000401,9960101,,臺鐵石龜車站,臺鐵石龜站,202212,雲林縣斗南鎮石溪里,05-5972039,TM2
Point (197023.20399999991059303 2618862.83699999935925007),P0000004708,9960101,,臺鐵斗南車站,臺鐵斗南站,202012,雲林縣斗南鎮南昌里中山路2號,05-5972039,TM2
Point (203219.50800000037997961 2623166.18999999947845936),P0000001072,9960101,,臺鐵斗六車站,臺鐵斗六站,202003,雲林縣斗六市信義里民生路187號,0931 041 917,TM2
Point (207180.48900000005960464 2625368.06499999947845936),P0000001176,9960101,,臺鐵石榴車站,臺鐵石榴站,201810,雲林縣斗六市榴北里文明路26號,05-5332900,TM2
Point (210754.47599999979138374 2628465.60300000011920929),P0000000093,9960101,,臺鐵林內車站,臺鐵林內站,201810,雲林縣林內鄉中山路42號,05-5892040,TM2
Point (223795.56899999963934533 2691719.5193000016734004),B0000000171,9960101,,臺鐵泰安車站,臺鐵泰安站,202312,臺中市后里區安眉路37-12號,04-25562038,TM2
Point (211624.29969999997410923 2667112.11370000103488564),B0000001360,9960101,,臺鐵烏日車站,臺鐵烏日站,201310,臺中市烏日區三民街258號,04-23381071,TM2
Point (210790.50210000047809444 2667233.37529999949038029),B0000006988,9960101,,臺鐵新烏日車站,臺鐵新烏日站,201710,臺中市烏日區高鐵東一路26號,04-23376883,TM2
Point (208340.51210000045830384 2667741.03449999820441008),B0000000923,9960101,,臺鐵成功車站,臺鐵成功站,201310,臺中市烏日區中山路三段550號,04-23371986,TM2
Point (214292.95270000054733828 2668285.24690000060945749),B0000006989,9960101,,臺鐵大慶車站,臺鐵大慶站,201710,臺中市南區大慶街二段130號,04-22637940,TM2
Point (206310.4438999998383224 2668439.33170000044628978),B0000000702,9960101,9940301,臺鐵追分車站,臺鐵追分站,201310,臺中市大肚區追分街13號,04-26933106,TM2
Point (216121.8855000002658926 2669322.18710000067949295),B0000006368,9960101,,臺鐵五權車站,臺鐵五權站,201809,臺中市南區建國南路二段201號,04-22601636,TM2
Point (218179.00790000049164519 2670240.21570000099018216),B0000009226,9960101,,臺鐵臺中車站,臺鐵臺中站,201709,臺中市中區臺灣大道一段1號,04-22216492,TM2
Point (219294.5930999992415309 2671589.27589999977499247),B0000006369,9960101,,臺鐵精武車站,臺鐵精武站,201809,臺中市東區東光路161號,04-2360650,TM2
Point (203506.79090000066207722 2672165.03149999957531691),B0000000408,9960101,,臺鐵大肚車站,臺鐵大肚站,201310,臺中市大肚區平和街121號,04-26992523,TM2
Point (219511.16089999978430569 2673260.25730000017210841),B0000006987,9960101,,臺鐵太原車站,臺鐵太原站,201710,臺中市北屯區東光路665號,04-22313926,TM2
Point (219728.11649999982910231 2675000.73530000168830156),B0000006990,9960101,,臺鐵松竹車站,臺鐵松竹站,201809,臺中市北屯區松竹路一段1473巷100號,04-22473033,TM2
Point (219933.96990000049117953 2676703.03970000054687262),B0000006372,9960101,,臺鐵頭家厝車站,臺鐵頭家厝站,201809,臺中市潭子區頭張東路43巷8號,04-25391426,TM2
Point (203610.5464999993564561 2676969.00530000030994415),B0000000419,9960101,,臺鐵龍井車站,臺鐵龍井站,201310,臺中市龍井區龍新路1號,04-26355578,TM2
Point (220121.18190000011236407 2678592.94210000056773424),B0000004956,9960101,,臺鐵潭子車站,臺鐵潭子站,201308,臺中市潭子區中山路二段352-1號,04-25363852,TM2
Point (220615.23969999968539923 2681033.1176999993622303),B0000006991,9960101,,臺鐵栗林車站,臺鐵栗林站,201911,臺中市潭子區潭豐路二段747號,04-25391401,TM2
Point (205070.56489999900804833 2681360.29939999943599105),B0000000540,9960101,,臺鐵沙鹿車站,臺鐵沙鹿站,201308,臺中市沙鹿區中正街94號,04-26625057,TM2
Point (221925.88929999928222969 2683206.23750000074505806),B0000011964,9960101,,臺鐵豐原車站,臺鐵豐原站,201911,臺中市豐原區中正路1-1號,04-25207950,TM2
Point (206253.74519999872427434 2684291.7923000012524426),B0000000694,9960101,,臺鐵清水車站,臺鐵清水站,201308,臺中市清水區中正街115號,04-26222021,TM2
Point (209644.17530000070109963 2688829.11029999982565641),B0000001024,9960101,,臺鐵臺中港車站,臺鐵臺中港站,201310,臺中市清水區甲南路2號,04-26225374,TM2
Point (222909.43549999935203232 2689302.09590000007301569),B0000005800,9960101,,臺鐵后里車站,臺鐵后里站,201308,臺中市后里區甲后路一段1號,04-25562038,TM2
Point (212159.3188000004447531 2693216.32399999862536788),B0000001512,9960101,,臺鐵大甲車站,臺鐵大甲站,201308,臺中市大甲區中山路一段828號,04-26872022,TM2
Point (214915.98959999982616864 2696937.83320000022649765),B0000009227,9960101,9940301,臺鐵日南車站,臺鐵日南站,201712,臺中市大甲區中山路二段140巷8號,04-26816113,TM2
Point (184623.22950000019045547 2584976.08390000136569142),D0000002733,9960101,9940113,臺鐵後壁車站,臺鐵後壁站,202009,臺南市後壁區後壁里後壁77號,06-6872055,TM2
Point (180774.25049999915063381 2578421.75110000092536211),D0000002364,9960101,,臺鐵新營車站,臺鐵新營站,201410,臺南市新營區中山路1號,06-6322104,TM2
Point (180696.54310000053374097 2575175.75770000088959932),D0000002178,9960101,,臺鐵柳營車站,臺鐵柳營站,201410,臺南市柳營區建國路1號,06-6226450,TM2
Point (173341.22809999997843988 2533905.82349999900907278),D0000004394,9960101,,臺鐵中洲車站,臺鐵中洲站,201208,臺南市仁德區中洲路298-1號,06-2667191,TM2
Point (175343.09529999981168658 2534186.61050000041723251),D0000004551,9960101,,臺鐵長榮大學車站,臺鐵長榮大學站,201208,臺南市歸仁區長榮路一段200巷72弄126號,06-2782615,TM2
Point (172091.60809999890625477 2536020.80749999964609742),D0000004256,9960101,,臺鐵仁德車站,臺鐵仁德站,201410,臺南市仁德區永德路10號,06-2669383,TM2
Point (176782.73230000006151386 2536045.34009999874979258),D0000006610,9960101,,臺鐵沙崙車站,臺鐵沙崙站,201705,臺南市歸仁區沙崙里歸仁大道102號,06-3032686,TM2
Point (171191.95569999876897782 2537067.45849999925121665),D0000004977,9960101,9940301,臺鐵保安車站,臺鐵保安站,202009,臺南市仁德區文賢路一段529巷10號,06-2665988,TM2
Point (169360.49890000076266006 2544102.01769999926909804),D0000011113,9960101,,臺鐵臺南車站(臨時後站),臺鐵臺南站(臨時後站),202209,,,TM2
